2022-01-10 23:04:50.482 [main] INFO  com.example.logbackdemo.LogbackdemoApplication - Starting LogbackdemoApplication using Java 1.8.0_301 on yingtao with PID 84782 (/Users/yingtaowang/Documents/个人/code/wyt/logbackdemo/target/classes started by yingtaowang in /Users/yingtaowang/Documents/个人/code/wyt/logbackdemo)
2022-01-10 23:04:50.486 [main] INFO  com.example.logbackdemo.LogbackdemoApplication - No active profile set, falling back to default profiles: default
2022-01-10 23:04:51.158 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9999 (http)
2022-01-10 23:04:51.165 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9999"]
2022-01-10 23:04:51.166 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-01-10 23:04:51.166 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
2022-01-10 23:04:51.214 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-01-10 23:04:51.214 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 679 ms
2022-01-10 23:04:51.437 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9999"]
2022-01-10 23:04:51.462 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9999 (http) with context path ''
2022-01-10 23:04:51.470 [main] INFO  com.example.logbackdemo.LogbackdemoApplication - Started LogbackdemoApplication in 1.545 seconds (JVM running for 1.942)
2022-01-10 23:06:19.768 [main] INFO  com.example.logbackdemo.LogbackdemoApplication - Starting LogbackdemoApplication using Java 1.8.0_301 on yingtao with PID 84799 (/Users/yingtaowang/Documents/个人/code/wyt/logbackdemo/target/classes started by yingtaowang in /Users/yingtaowang/Documents/个人/code/wyt/logbackdemo)
2022-01-10 23:06:19.770 [main] INFO  com.example.logbackdemo.LogbackdemoApplication - No active profile set, falling back to default profiles: default
2022-01-10 23:06:20.275 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9999 (http)
2022-01-10 23:06:20.281 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9999"]
2022-01-10 23:06:20.282 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-01-10 23:06:20.282 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
2022-01-10 23:06:20.320 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-01-10 23:06:20.320 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 520 ms
2022-01-10 23:06:20.511 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9999"]
2022-01-10 23:06:20.536 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9999 (http) with context path ''
2022-01-10 23:06:20.543 [main] INFO  com.example.logbackdemo.LogbackdemoApplication - Started LogbackdemoApplication in 1.08 seconds (JVM running for 1.43)
